All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UNY208P
# misassemblies              14     
  # contig misassemblies     14     
    # c. relocations         3      
    # c. translocations      11     
    # c. inversions          0      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       6      
Misassembled contigs length  187224 
# local misassemblies        6      
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     8      
# mismatches                 9459   
# indels                     510    
    # indels (<= 5 bp)       459    
    # indels (> 5 bp)        51     
Indels length                2269   
