All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI48H
# misassemblies              18    
  # contig misassemblies     18    
    # c. relocations         7     
    # c. translocations      11    
    # c. inversions          0     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       8     
Misassembled contigs length  257775
# local misassemblies        12    
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     1     
# mismatches                 10581 
# indels                     600   
    # indels (<= 5 bp)       534   
    # indels (> 5 bp)        66    
Indels length                3988  
