All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI56H
# misassemblies              14    
  # contig misassemblies     14    
    # c. relocations         3     
    # c. translocations      8     
    # c. inversions          3     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       9     
Misassembled contigs length  113180
# local misassemblies        7     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     1     
# mismatches                 8728  
# indels                     583   
    # indels (<= 5 bp)       510   
    # indels (> 5 bp)        73    
Indels length                3192  
