All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UCT109H
# misassemblies              12     
  # contig misassemblies     12     
    # c. relocations         5      
    # c. translocations      7      
    # c. inversions          0      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       9      
Misassembled contigs length  278157 
# local misassemblies        1      
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     0      
# mismatches                 1744   
# indels                     236    
    # indels (<= 5 bp)       201    
    # indels (> 5 bp)        35     
Indels length                1845   
