All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UNY203P
# misassemblies              15     
  # contig misassemblies     15     
    # c. relocations         1      
    # c. translocations      14     
    # c. inversions          0      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       6      
Misassembled contigs length  156154 
# local misassemblies        6      
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     4      
# mismatches                 8465   
# indels                     390    
    # indels (<= 5 bp)       353    
    # indels (> 5 bp)        37     
Indels length                1466   
