All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI93H
# misassemblies              15    
  # contig misassemblies     15    
    # c. relocations         7     
    # c. translocations      6     
    # c. inversions          2     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       8     
Misassembled contigs length  251406
# local misassemblies        4     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     0     
# mismatches                 1996  
# indels                     312   
    # indels (<= 5 bp)       258   
    # indels (> 5 bp)        54    
Indels length                3850  
