All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UNY169P
# misassemblies              18     
  # contig misassemblies     18     
    # c. relocations         6      
    # c. translocations      12     
    # c. inversions          0      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       9      
Misassembled contigs length  266473 
# local misassemblies        7      
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     2      
# mismatches                 10476  
# indels                     650    
    # indels (<= 5 bp)       580    
    # indels (> 5 bp)        70     
Indels length                3129   
