All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI41H
# misassemblies              13    
  # contig misassemblies     13    
    # c. relocations         4     
    # c. translocations      7     
    # c. inversions          2     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       5     
Misassembled contigs length  198557
# local misassemblies        5     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     1     
# mismatches                 2385  
# indels                     322   
    # indels (<= 5 bp)       269   
    # indels (> 5 bp)        53    
Indels length                3488  
