All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     ESI425H
# misassemblies              12     
  # contig misassemblies     12     
    # c. relocations         3      
    # c. translocations      9      
    # c. inversions          0      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       4      
Misassembled contigs length  145460 
# local misassemblies        13     
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     2      
# mismatches                 9256   
# indels                     454    
    # indels (<= 5 bp)       411    
    # indels (> 5 bp)        43     
Indels length                1948   
