All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI112H
# misassemblies              26     
  # contig misassemblies     26     
    # c. relocations         5      
    # c. translocations      17     
    # c. inversions          4      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       10     
Misassembled contigs length  290299 
# local misassemblies        14     
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     6      
# mismatches                 10259  
# indels                     680    
    # indels (<= 5 bp)       609    
    # indels (> 5 bp)        71     
Indels length                4432   
