gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_101_length_984_cov_13.8425_1	1	783	1	260	"ParE toxin of type II toxin-antitoxin system, parDE"	0.00015	T	TASMANIA.T9	T.17579	Hmmer_genes	?T?	?T?
>NODE_171_length_465_cov_0.727811_1	2	463	1	153	Arc-like DNA binding domain	2.2e-06	A	TASMANIA.A72	A.26904	Hmmer_genes	?A?	?A?
>NODE_1_length_164760_cov_17.0095_123	122321	123976	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx	xxxAxxxxxx
>NODE_1_length_164760_cov_17.0095_32	29373	30854	1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00052	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>NODE_20_length_14221_cov_52.8101_11	12531	12779	-1	82	YoeB-like toxin of bacterial type II toxin-antitoxin system	2.7e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	T	T
>NODE_27_length_9416_cov_25.3772_5	4654	5127	-1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>NODE_33_length_6129_cov_13.5696_2	2083	3297	-1	404	PIN domain	6.1e-07	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx	Tx
>NODE_3_length_118708_cov_18.0556_12	13087	13362	1	91	Arc-like DNA binding domain	3.6e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxAxxxxx	xxxAxxxxx
>NODE_3_length_118708_cov_18.0556_27	29891	30787	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx	Txx
>NODE_3_length_118708_cov_18.0556_30	34794	35153	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>NODE_3_length_118708_cov_18.0556_77	76245	76508	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_40_length_3628_cov_45.5044_2	2554	2823	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?	Ax?
>NODE_4_length_94571_cov_17.0898_7	9757	10158	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx	xAxxx
>NODE_56_length_2829_cov_58.7239_5	2483	2716	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	Ax?	Ax?
>NODE_5_length_64886_cov_19.3387_67	62531	62923	1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_7_length_41195_cov_16.9536_1	187	969	-1	260	ParB-like nuclease domain	1.8e-55	A	TASMANIA.A1	A.58457	Hmmer_genes	?A	?A
