gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_12_length_26542_cov_49.4256_12	9986	11200	-1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx	Tx
>NODE_1_length_235575_cov_49.0642_167	191997	192389	1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_1_length_235575_cov_49.0642_169	194612	195895	-1	427	PIN domain	5.7e-06	T	TASMANIA.T10	T.58847	Hmmer_genes	Txxxxxxxx	Txxxxxxxx
>NODE_1_length_235575_cov_49.0642_207	234613	235395	1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A?	A?
>NODE_23_length_7197_cov_154.878_4	1073	1765	-1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	?xxxTx	?xxxTx
>NODE_29_length_5146_cov_101.526_5	4645	5145	-1	166	"Antidote-toxin recognition MazE, bacterial antitoxin"	6.4e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A?	A?
>NODE_2_length_205192_cov_56.9584_34	42163	42426	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>NODE_2_length_205192_cov_56.9584_81	83538	83897	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA	xA
>NODE_2_length_205192_cov_56.9584_84	87895	88791	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT	xxT
>NODE_3_length_126669_cov_48.2869_74	81973	83628	1	551	RelB antitoxin	9.5e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx	xxxxxxAxxx
>NODE_40_length_3731_cov_267.679_2	2615	2884	-1	89	RelB antitoxin	6.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?	Ax?
>NODE_4_length_103529_cov_44.4132_22	26364	26765	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>NODE_5_length_79394_cov_49.5814_48	48400	49881	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	xT	xT
>NODE_8_length_41142_cov_114.079_6	4490	5281	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	1.2e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
