gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_119_length_475_cov_2.241206_1	1	231	-1	76	"ParE toxin of type II toxin-antitoxin system, parDE"	4.7e-07	T	TASMANIA.T9	T.17579	Hmmer_genes	?Tx?	?Tx?
>NODE_156_length_382_cov_639.993443_1	3	380	1	125	ParB family	1.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A?	?A?
>NODE_1_length_353770_cov_194.787686_182	214192	214593	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>NODE_20_length_7323_cov_999.121998_2	842	1111	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA	?xA
>NODE_20_length_7323_cov_999.121998_5	6234	6503	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?	Ax?
>NODE_21_length_7208_cov_248.326181_1	226	741	1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	?A	?A
>NODE_21_length_7208_cov_248.326181_6	6468	6983	-1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A?	A?
>NODE_2_length_221404_cov_199.983152_141	147440	147703	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221404_cov_199.983152_91	101097	101993	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx	Txx
>NODE_2_length_221404_cov_199.983152_94	105991	106350	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>NODE_3_length_213476_cov_189.996968_171	182423	183895	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	xT	xT
>NODE_3_length_213476_cov_189.996968_80	89293	90948	1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx	xxxxxxAxxx
>NODE_4_length_115453_cov_207.137152_12	9674	10456	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>NODE_4_length_115453_cov_207.137152_52	52685	53077	-1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_5_length_53705_cov_409.898523_60	48526	48999	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>NODE_5_length_53705_cov_409.898523_7	5409	6200	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>NODE_7_length_36862_cov_367.922414_28	36533	36862	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?	A?
>NODE_9_length_26575_cov_447.193826_5	5048	6262	1	404	PIN domain	3.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
