All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI91H
# misassemblies              12    
  # contig misassemblies     12    
    # c. relocations         7     
    # c. translocations      5     
    # c. inversions          0     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       11    
Misassembled contigs length  330904
# local misassemblies        2     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     0     
# mismatches                 1787  
# indels                     204   
    # indels (<= 5 bp)       181   
    # indels (> 5 bp)        23    
Indels length                1340  
