gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_114_length_380_cov_53.155116_1	3	257	1	84	RelB antitoxin	3.7e-06	A	TASMANIA.A54	A.11087	Hmmer_genes	?A?	?A?
>NODE_16_length_10604_cov_87.220861_4	1924	2439	1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A	A
>NODE_16_length_10604_cov_87.220861_9	8166	8681	-1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A	A
>NODE_1_length_469121_cov_69.883817_12	9674	10456	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>NODE_1_length_469121_cov_69.883817_299	329510	329911	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>NODE_1_length_469121_cov_69.883817_52	52685	53077	-1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_20_length_7325_cov_251.701435_2	821	1090	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA	?xA
>NODE_20_length_7325_cov_251.701435_5	6215	6484	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?	Ax?
>NODE_22_length_5906_cov_8.872362_2	531	1091	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txxxx	Txxxx
>NODE_2_length_221425_cov_71.006447_141	147440	147703	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221425_cov_71.006447_91	101097	101993	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx	Txx
>NODE_2_length_221425_cov_71.006447_94	105991	106350	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>NODE_3_length_213476_cov_66.939119_171	182423	183895	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	xT	xT
>NODE_3_length_213476_cov_66.939119_80	89293	90948	1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx	xxxxxxAxxx
>NODE_4_length_53701_cov_95.673579_5	4699	5172	-1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>NODE_4_length_53701_cov_95.673579_58	47502	48293	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>NODE_6_length_36860_cov_97.089090_1	1	330	-1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A	?A
>NODE_6_length_36860_cov_97.089090_28	36531	36860	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?	A?
>NODE_8_length_26575_cov_109.134425_25	23105	24319	-1	404	PIN domain	3.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx	Tx
