All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UNY1032P
# misassemblies              3       
  # contig misassemblies     3       
    # c. relocations         1       
    # c. translocations      2       
    # c. inversions          0       
  # scaffold misassemblies   0       
    # s. relocations         0       
    # s. translocations      0       
    # s. inversions          0       
# misassembled contigs       3       
Misassembled contigs length  91704   
# local misassemblies        0       
# scaffold gap ext. mis.     0       
# scaffold gap loc. mis.     0       
# unaligned mis. contigs     0       
# mismatches                 1281    
# indels                     225     
    # indels (<= 5 bp)       183     
    # indels (> 5 bp)        42      
Indels length                1804    
