All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     ESI36H
# misassemblies              14    
  # contig misassemblies     14    
    # c. relocations         2     
    # c. translocations      12    
    # c. inversions          0     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       4     
Misassembled contigs length  142865
# local misassemblies        6     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     1     
# mismatches                 8188  
# indels                     368   
    # indels (<= 5 bp)       326   
    # indels (> 5 bp)        42    
Indels length                1713  
