gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_137_length_382_cov_70.088525_1	3	380	1	125	ParB family	1.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A?	?A?
>NODE_138_length_380_cov_40.042904_1	3	257	1	84	RelB antitoxin	3.7e-06	A	TASMANIA.A54	A.11087	Hmmer_genes	?A?	?A?
>NODE_17_length_9669_cov_291.815054_6	4420	4980	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txxxx	Txxxx
>NODE_1_length_354966_cov_71.651880_113	140375	140776	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx	xAxxx
>NODE_20_length_8452_cov_51.664955_3	848	1363	1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A	A
>NODE_20_length_8452_cov_51.664955_8	7090	7605	-1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A	A
>NODE_23_length_7323_cov_262.830941_2	821	1090	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA	?xA
>NODE_23_length_7323_cov_262.830941_3	6213	6482	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?	Ax?
>NODE_2_length_221425_cov_73.072682_111	115076	115435	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA	xA
>NODE_2_length_221425_cov_73.072682_114	119433	120329	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT	xxT
>NODE_2_length_221425_cov_73.072682_64	73723	73986	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>NODE_3_length_213348_cov_69.504011_125	122545	124200	-1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx	xxxAxxxxxx
>NODE_3_length_213348_cov_69.504011_34	29598	31070	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>NODE_4_length_115453_cov_75.919853_107	104998	105780	1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>NODE_4_length_115453_cov_75.919853_67	62377	62769	1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_5_length_53711_cov_98.989503_60	48532	49005	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>NODE_5_length_53711_cov_98.989503_7	5411	6202	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	5.7e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>NODE_6_length_36862_cov_99.019383_1	1	330	-1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A	?A
>NODE_6_length_36862_cov_99.019383_28	36533	36862	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?	A?
>NODE_8_length_26575_cov_109.182391_21	19396	20610	1	404	PIN domain	3.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
