gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_10_length_25082_cov_79.043551_4	3667	4881	1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
>NODE_13_length_18612_cov_48.405125_14	18283	18612	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?	A?
>NODE_14_length_15240_cov_72.301326_15	10632	11324	-1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	?xxxxxxxxxxxxxxTx	?xxxxxxxxxxxxxxTx
>NODE_19_length_8652_cov_190.405481_4	2651	3211	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	xxT	xxT
>NODE_1_length_435012_cov_51.353050_140	147450	147713	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_1_length_435012_cov_51.353050_282	310840	312495	1	551	RelB antitoxin	5.3e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx	xxxxxxAxxx
>NODE_1_length_435012_cov_51.353050_373	403964	405436	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00049	T	TASMANIA.T4	T.2200	Hmmer_genes	xT	xT
>NODE_1_length_435012_cov_51.353050_75	84289	84564	1	91	Arc-like DNA binding domain	1.5e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxAxxxxx	xxxAxxxxx
>NODE_1_length_435012_cov_51.353050_90	101105	102001	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx	Txx
>NODE_1_length_435012_cov_51.353050_93	105999	106358	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>NODE_20_length_8338_cov_64.104588_9	6974	7495	-1	173	"ParE toxin of type II toxin-antitoxin system, parDE"	7e-07	T	TASMANIA.T86	T.17765	Hmmer_genes	T	T
>NODE_2_length_287837_cov_51.405484_69	73307	73708	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx	xAxxx
>NODE_33_length_3648_cov_84.369084_2	821	1090	1	89	RelB antitoxin	4.4e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA	?xA
>NODE_3_length_287765_cov_51.430880_182	214190	214591	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>NODE_59_length_771_cov_96.077810_1	1	552	-1	183	ParB-like nuclease domain	8.7e-06	A	TASMANIA.A1	A.678	Hmmer_genes	?Ax?	?Ax?
>NODE_5_length_115516_cov_56.452707_107	105056	105838	1	260	ParB-like nuclease domain	5.6e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>NODE_5_length_115516_cov_56.452707_67	62436	62828	1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_6_length_54022_cov_67.998369_6	4710	5501	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	9.9e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>NODE_6_length_54022_cov_67.998369_60	48842	49315	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	5.4e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>NODE_80_length_484_cov_33.977887_1	47	484	-1	145	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	3.7e-06	A	TASMANIA.A111	A.5411	Hmmer_genes	?A?	?A?
>NODE_9_length_27780_cov_43.876512_20	14718	14954	1	78	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	6e-06	A	TASMANIA.A90	A.42391	Hmmer_genes	xxxxxxxxxxxxxxxAxxxxxxxxxxxx	xxxxxxxxxxxxxxxAxxxxxxxxxxxx
