All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI88H
# misassemblies              34    
  # contig misassemblies     34    
    # c. relocations         8     
    # c. translocations      24    
    # c. inversions          2     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       12    
Misassembled contigs length  441972
# local misassemblies        24    
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     3     
# mismatches                 12139 
# indels                     744   
    # indels (<= 5 bp)       666   
    # indels (> 5 bp)        78    
Indels length                4151  
