gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_15_length_9712_cov_151.614842_8	4753	5313	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	xxxxT	xxxxT
>NODE_18_length_7862_cov_55.476044_3	848	1363	1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A	A
>NODE_18_length_7862_cov_55.476044_8	7090	7605	-1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A	A
>NODE_1_length_357436_cov_42.740801_114	142845	143246	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx	xAxxx
>NODE_1_length_357436_cov_42.740801_2	842	1111	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA	?xA
>NODE_240_length_248_cov_2.157895_1	1	246	1	81	PIN domain	6.6e-07	T	TASMANIA.T109	T.34729	Hmmer_genes	?T?	?T?
>NODE_2_length_221425_cov_42.597625_141	147440	147703	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221425_cov_42.597625_91	101097	101993	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx	Txx
>NODE_2_length_221425_cov_42.597625_94	105991	106350	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>NODE_3_length_213476_cov_40.156219_171	182423	183895	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	xT	xT
>NODE_3_length_213476_cov_40.156219_80	89293	90948	1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx	xxxxxxAxxx
>NODE_4_length_115453_cov_44.229874_107	104998	105780	1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>NODE_4_length_115453_cov_44.229874_67	62377	62769	1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_5_length_53719_cov_59.836173_60	48540	49013	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>NODE_5_length_53719_cov_59.836173_7	5409	6200	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>NODE_7_length_36862_cov_72.876988_1	1	330	-1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A	?A
>NODE_7_length_36862_cov_72.876988_28	36533	36862	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?	A?
>NODE_9_length_26575_cov_74.456600_24	21727	22941	-1	404	PIN domain	3.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx	Tx
