gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_109_length_334_cov_0.863813_1	3	332	1	109	PIN domain	1.3e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	?T?	?T?
>NODE_115_length_323_cov_0.654472_1	3	323	1	106	"Antidote-toxin recognition MazE, bacterial antitoxin"	3e-06	A	TASMANIA.A89	A.41227	Hmmer_genes	?A?	?A?
>NODE_16_length_9720_cov_822.983511_6	4400	4960	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txxx	Txxx
>NODE_186_length_209_cov_210.325758_1	2	208	1	68	Putative ParB-like nuclease	5.1e-05	A	TASMANIA.A19	A.45451	Hmmer_genes	?A?	?A?
>NODE_1_length_462014_cov_268.445388_11	9682	10464	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>NODE_1_length_462014_cov_268.445388_298	329550	329951	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>NODE_1_length_462014_cov_268.445388_51	52688	53080	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_2_length_221383_cov_273.676814_141	147417	147680	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221383_cov_273.676814_91	101088	101984	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx	Txx
>NODE_2_length_221383_cov_273.676814_94	105982	106341	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>NODE_32_length_3647_cov_569.126891_2	2558	2827	-1	89	RelB antitoxin	7.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?	Ax?
>NODE_3_length_213335_cov_255.726186_171	182304	183776	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00025	T	TASMANIA.T4	T.2200	Hmmer_genes	xT	xT
>NODE_3_length_213335_cov_255.726186_80	89168	90823	1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx	xxxxxxAxxx
>NODE_5_length_54780_cov_338.583734_59	48575	49366	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	5.7e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>NODE_6_length_40864_cov_395.057102_21	17005	17238	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	A	A
>NODE_6_length_40864_cov_395.057102_28	23627	23860	1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	A	A
>NODE_7_length_26583_cov_457.251226_12	11600	12814	1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
>NODE_9_length_17773_cov_176.725136_1	1	330	-1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A	?A
