All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UCT31H
# misassemblies              16    
  # contig misassemblies     16    
    # c. relocations         6     
    # c. translocations      7     
    # c. inversions          3     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       9     
Misassembled contigs length  241165
# local misassemblies        6     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     0     
# mismatches                 3434  
# indels                     431   
    # indels (<= 5 bp)       368   
    # indels (> 5 bp)        63    
Indels length                3878  
