gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_114_length_413_cov_15.8811_1	3	413	-1	136	PIN domain	5.8e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	?T?	?T?
>NODE_12_length_15798_cov_91.484_4	1988	2257	1	89	YoeB-like toxin of bacterial type II toxin-antitoxin system	4e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	xT	xT
>NODE_143_length_204_cov_20.7403_1	1	204	-1	67	PIN domain	4.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	?T?	?T?
>NODE_15_length_8837_cov_783.592_8	5551	6111	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txx	Txx
>NODE_1_length_657694_cov_39.7944_184	205431	206213	-1	260	ParB-like nuclease domain	2.1e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>NODE_1_length_657694_cov_39.7944_224	248444	248836	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_1_length_657694_cov_39.7944_34	42196	42459	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>NODE_1_length_657694_cov_39.7944_471	525295	525696	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>NODE_1_length_657694_cov_39.7944_82	83552	83911	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA	xA
>NODE_1_length_657694_cov_39.7944_85	87918	88814	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT	xxT
>NODE_2_length_164210_cov_38.9206_43	41556	43211	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx	xxxAxxxxxx
>NODE_34_length_2405_cov_125.028_1	2	784	-1	260	PIN domain	5.1e-08	T	TASMANIA.T109	T.34729	Hmmer_genes	?Txxxx?	?Txxxx?
>NODE_39_length_1986_cov_134.558_1	1	1761	1	586	PIN domain	1.8e-08	T	TASMANIA.T109	T.34729	Hmmer_genes	?Tx?	?Tx?
>NODE_3_length_80925_cov_37.7958_33	29461	30933	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00037	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>NODE_4_length_53884_cov_67.6528_6	4513	5304	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>NODE_4_length_53884_cov_67.6528_60	48726	49199	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.7e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>NODE_77_length_621_cov_0.947368_1	2	619	-1	205	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	9.8e-06	T	TASMANIA.T4	T.51595	Hmmer_genes	?T?	?T?
>NODE_9_length_26625_cov_74.5434_14	13081	14295	1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
