gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>contig000001_124	122491	124146	-1	551	0	antitoxin	9.4e-07	0	TASMANIA.A11	A.36188	xxx9.4e-07xxxxxx
>contig000001_266	287912	288175	-1	87	0	family	0.00044	0	TASMANIA.T11	T.23429	xxxxxxxxxx0.00044xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>contig000001_313	329265	329624	1	119	0	antitoxin	1.3e-07	0	TASMANIA.A116	A.58654	x1.3e-07
>contig000001_316	333622	334518	-1	298	0	RelE-like	toxic	0	of	a	xxtoxic
>contig000001_33	29544	31016	1	490	0	toxin	of	0	II	toxin-antitoxin	ofx
>contig000001_418	451144	451926	-1	260	0	nuclease	domain	0	A	TASMANIA.A1	domain
>contig000001_458	494155	494547	-1	130	0	domain	2.1e-07	0	TASMANIA.T89	T.19597	2.1e-07
>contig000001_705	771160	771561	-1	133	0	nuclease	domain	0	A	TASMANIA.A67	xxxdomainx
>contig000002_60	48527	49000	1	157	0	recognition	MazE,	0	antitoxin"	3.1e-07	MazE,
>contig000002_7	5406	6197	1	263	0	toxin	of	0	II	toxin-antitoxin	of
>contig000006_3	2823	3338	-1	171	0	family	5e-07	0	TASMANIA.A21	A.65653	5e-07
>contig000018_7	6402	7616	1	404	0	domain	3.5e-06	0	TASMANIA.T109	T.34729	x3.5e-06
>contig000019_10	7935	8495	1	186	0	toxin	of	0	II	toxin-antitoxin	xxxxof
>contig000020_2	792	1061	1	89	0	antitoxin	6.7e-06	0	TASMANIA.A11	A.21775	?x6.7e-06
>contig000020_3	6186	6455	-1	89	0	antitoxin	6.7e-06	0	TASMANIA.A11	A.21775	6.7e-06x
