All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI111H
# misassemblies              21     
  # contig misassemblies     21     
    # c. relocations         8      
    # c. translocations      11     
    # c. inversions          2      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       12     
Misassembled contigs length  430100 
# local misassemblies        6      
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     0      
# mismatches                 3773   
# indels                     426    
    # indels (<= 5 bp)       360    
    # indels (> 5 bp)        66     
Indels length                3925   
