gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_10_length_20436_cov_708.003979_20	17010	17243	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	A
>NODE_11_length_16937_cov_367.354211_1	1	330	-1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A
>NODE_17_length_8703_cov_2112.426965_2	903	1463	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txx
>NODE_181_length_294_cov_1.009217_1	2	292	-1	96	HicB_like antitoxin of bacterial toxin-antitoxin system	4.7e-06	A	TASMANIA.A95	A.46077	Hmmer_genes	?A?
>NODE_1_length_468749_cov_249.220401_11	9682	10464	-1	260	ParB-like nuclease domain	5.6e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_1_length_468749_cov_249.220401_298	329558	329959	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>NODE_1_length_468749_cov_249.220401_51	52688	53080	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_24_length_3651_cov_710.220481_2	821	1090	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA
>NODE_2_length_221516_cov_254.341905_111	115275	115634	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>NODE_2_length_221516_cov_254.341905_114	119641	120537	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>NODE_2_length_221516_cov_254.341905_129	137078	137353	-1	91	Arc-like DNA binding domain	1.5e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxxxAxxx
>NODE_2_length_221516_cov_254.341905_64	73920	74183	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>NODE_3_length_213290_cov_238.281310_124	122483	124138	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>NODE_3_length_213290_cov_238.281310_33	29538	31010	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00049	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>NODE_4_length_53793_cov_632.084891_6	4461	5252	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_4_length_53793_cov_632.084891_60	48612	49085	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>NODE_7_length_27403_cov_591.893911_26	19956	20192	-1	78	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	6e-06	A	TASMANIA.A90	A.42391	Hmmer_genes	xxxxxxxxxxxxAxxxxxxxxxxxx?
>NODE_84_length_485_cov_0.897059_1	2	484	1	160	PIN domain	1.2e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	?T?
>NODE_8_length_26599_cov_712.699306_21	20154	21368	1	404	PIN domain	5.3e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT
