All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UCT95H
# misassemblies              20    
  # contig misassemblies     20    
    # c. relocations         7     
    # c. translocations      13    
    # c. inversions          0     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       7     
Misassembled contigs length  337227
# local misassemblies        5     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     4     
# mismatches                 11525 
# indels                     10679 
    # indels (<= 5 bp)       10581 
    # indels (> 5 bp)        98    
Indels length                15582 
