All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UCT96H
# misassemblies              20    
  # contig misassemblies     20    
    # c. relocations         8     
    # c. translocations      11    
    # c. inversions          1     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       13    
Misassembled contigs length  298543
# local misassemblies        8     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     1     
# mismatches                 6267  
# indels                     472   
    # indels (<= 5 bp)       416   
    # indels (> 5 bp)        56    
Indels length                2270  
