gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_106_length_3694_cov_13.799_2	2548	2817	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?
>NODE_125_length_2915_cov_15.8515_1	107	898	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	?T
>NODE_127_length_2814_cov_5.71939_1	2	841	-1	279	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	1.5e-05	T	TASMANIA.T4	T.2200	Hmmer_genes	?T
>NODE_158_length_1610_cov_31.7188_2	231	464	1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	?xA
>NODE_16_length_18581_cov_16.2407_12	10810	11085	-1	91	Arc-like DNA binding domain	1.5e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxxxAxxx
>NODE_17_length_18049_cov_18.4017_13	8828	9091	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	?xxxxxxxxxxxxTxxxxxxxxx?
>NODE_1_length_39291_cov_18.924_2	1587	1979	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_21_length_17146_cov_13.7421_10	10664	11065	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>NODE_22_length_14113_cov_16.1993_1	68	850	-1	260	ParB-like nuclease domain	5.6e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	?A
>NODE_240_length_630_cov_6.666_1	67	630	1	187	ParB-like nuclease domain	5.5e-06	A	TASMANIA.A25	A.17865	Hmmer_genes	?A?
>NODE_3_length_29447_cov_56.7855_7	5335	6027	1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	2.8e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xTxxxxxxxxxxxxxxxx
>NODE_40_length_9368_cov_14.1889_2	2017	2913	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>NODE_40_length_9368_cov_14.1889_5	6920	7279	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>NODE_45_length_8874_cov_39.6958_10	7308	7868	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	xxT
>NODE_4_length_27643_cov_27.7577_14	8773	9009	-1	78	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	6e-06	A	TASMANIA.A90	A.42391	Hmmer_genes	xxxxxxxxxxxxAxxxxxxxxxxxxxxx
>NODE_80_length_4966_cov_15.5387_1	3	497	1	164	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.4e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	?A
>NODE_93_length_4253_cov_21.3478_1	163	1377	-1	404	PIN domain	5.3e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	?Tx
>NODE_9_length_22072_cov_12.5711_18	13273	14928	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx?
