All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI36H 
# misassemblies              39     
  # contig misassemblies     39     
    # c. relocations         6      
    # c. translocations      31     
    # c. inversions          2      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       16     
Misassembled contigs length  1339384
# local misassemblies        12     
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     1      
# mismatches                 13126  
# indels                     863    
    # indels (<= 5 bp)       771    
    # indels (> 5 bp)        92     
Indels length                3988   
