All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UCT35H
# misassemblies              19    
  # contig misassemblies     19    
    # c. relocations         4     
    # c. translocations      13    
    # c. inversions          2     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       3     
Misassembled contigs length  148683
# local misassemblies        10    
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     3     
# mismatches                 7882  
# indels                     396   
    # indels (<= 5 bp)       358   
    # indels (> 5 bp)        38    
Indels length                1671  
