All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     ESI403H
# misassemblies              10     
  # contig misassemblies     10     
    # c. relocations         3      
    # c. translocations      7      
    # c. inversions          0      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       5      
Misassembled contigs length  140010 
# local misassemblies        4      
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     1      
# mismatches                 6982   
# indels                     459    
    # indels (<= 5 bp)       398    
    # indels (> 5 bp)        61     
Indels length                2803   
