gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_11_length_25158_cov_16.2824_24	20208	21422	-1	404	PIN domain	3.4e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx
>NODE_14_length_17816_cov_16.396_16	14929	15201	1	90	RelB antitoxin	6.5e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	xA
>NODE_1_length_709546_cov_14.9878_111	115161	115520	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>NODE_1_length_709546_cov_14.9878_114	119527	120423	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>NODE_1_length_709546_cov_14.9878_215	237056	237838	-1	260	ParB-like nuclease domain	2.1e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_1_length_709546_cov_14.9878_255	280052	280444	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_1_length_709546_cov_14.9878_503	557060	557461	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>NODE_1_length_709546_cov_14.9878_64	73809	74072	-1	87	Hok/gef family	3.9e-05	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>NODE_2_length_213832_cov_12.7779_173	182972	184453	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.0003	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_2_length_213832_cov_12.7779_80	89843	91498	1	551	RelB antitoxin	1.6e-06	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>NODE_30_length_1264_cov_5.86983_1	2	310	-1	102	"ParE toxin of type II toxin-antitoxin system, parDE"	8.3e-07	T	TASMANIA.T9	T.17579	Hmmer_genes	?Txx?
>NODE_3_length_60592_cov_151.897_45	30958	31578	-1	206	"PemK-like, MazF-like toxin of type II toxin-antitoxin system"	3.1e-05	T	TASMANIA.T57	T.56898	Hmmer_genes	T
>NODE_5_length_53014_cov_24.2815_59	47809	48282	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>NODE_5_length_53014_cov_24.2815_6	4703	5494	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	0.00019	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_7_length_32904_cov_21.2369_20	17582	17815	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	Ax
