gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>MC105_chr_123	122329	123984	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx	xxxAxxxxxx
>MC105_chr_265	287582	287845	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>MC105_chr_312	328937	329296	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA	xA
>MC105_chr_315	333303	334199	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT	xxT
>MC105_chr_32	29381	30862	1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00052	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>MC105_chr_330	350728	351003	-1	91	Arc-like DNA binding domain	3.6e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxxxAxxx	xxxxxAxxx
>MC105_chr_417	450826	451608	-1	260	ParB-like nuclease domain	1.8e-55	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>MC105_chr_457	493833	494225	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>MC105_chr_704	770755	771156	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx	xxxAx
>MC105_cp26_4	3623	4837	1	404	PIN domain	6.1e-07	T	TASMANIA.T109	T.34729	Hmmer_genes	xT	xT
>MC105_lp17_1	2560	2829	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?Ax	?Ax
>MC105_lp17_13	16366	16614	-1	82	YoeB-like toxin of bacterial type II toxin-antitoxin system	2.7e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	T	T
>MC105_lp36_18	18203	18436	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	Ax	Ax
>MC105_lp54_5	4670	5143	-1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>MC105_lp54_59	48526	49317	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	0.00015	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
