All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UNY1090P
# misassemblies              17      
  # contig misassemblies     17      
    # c. relocations         3       
    # c. translocations      14      
    # c. inversions          0       
  # scaffold misassemblies   0       
    # s. relocations         0       
    # s. translocations      0       
    # s. inversions          0       
# misassembled contigs       9       
Misassembled contigs length  263584  
# local misassemblies        11      
# scaffold gap ext. mis.     0       
# scaffold gap loc. mis.     0       
# unaligned mis. contigs     5       
# mismatches                 10232   
# indels                     522     
    # indels (<= 5 bp)       469     
    # indels (> 5 bp)        53      
Indels length                2307    
