All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UNY1085P
# misassemblies              19      
  # contig misassemblies     19      
    # c. relocations         3       
    # c. translocations      16      
    # c. inversions          0       
  # scaffold misassemblies   0       
    # s. relocations         0       
    # s. translocations      0       
    # s. inversions          0       
# misassembled contigs       7       
Misassembled contigs length  218340  
# local misassemblies        5       
# scaffold gap ext. mis.     0       
# scaffold gap loc. mis.     0       
# unaligned mis. contigs     2       
# mismatches                 10909   
# indels                     713     
    # indels (<= 5 bp)       615     
    # indels (> 5 bp)        98      
Indels length                3266    
