All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI89H
# misassemblies              17    
  # contig misassemblies     17    
    # c. relocations         8     
    # c. translocations      7     
    # c. inversions          2     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       11    
Misassembled contigs length  333226
# local misassemblies        5     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     0     
# mismatches                 2951  
# indels                     353   
    # indels (<= 5 bp)       306   
    # indels (> 5 bp)        47    
Indels length                1725  
