gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>MC123_chr_112	136548	136949	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx	xAxxx
>MC123_chr_359	413534	413923	1	129	PIN domain	5.7e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>MC123_chr_399	456148	456930	1	260	ParB-like nuclease domain	1.8e-55	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>MC123_chr_486	556752	557027	1	91	Arc-like DNA binding domain	3.6e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxAxxxxx	xxxAxxxxx
>MC123_chr_501	573555	574451	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx	Txx
>MC123_chr_504	578458	578817	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax	Ax
>MC123_chr_551	619908	620171	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>MC123_chr_694	783940	785595	1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx	xxxxxxAxxx
>MC123_chr_785	877065	878546	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00052	T	TASMANIA.T4	T.2200	Hmmer_genes	xT	xT
>MC123_cp26_2	684	1898	1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	?xT	?xT
>MC123_cp32-4_8	2933	3565	1	210	RelB antitoxin	0.00016	A	TASMANIA.A114	A.56826	Hmmer_genes	A	A
>MC123_cp9_6	4982	5542	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	xxT	xxT
>MC123_lp17_14	16175	16423	-1	82	YoeB-like toxin of bacterial type II toxin-antitoxin system	2.7e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	T	T
>MC123_lp17_2	2561	2830	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax	Ax
>MC123_lp36_19	18193	18426	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	Ax	Ax
>MC123_lp54_6	4463	5254	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	0.0002	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>MC123_lp54_60	48761	49234	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
