gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>B348_chr_124	122353	124008	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>B348_chr_266	287301	287564	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>B348_chr_313	328656	329015	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>B348_chr_316	333022	333918	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>B348_chr_33	29415	30887	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00037	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>B348_chr_416	450535	451317	-1	260	ParB-like nuclease domain	2.1e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>B348_chr_456	493548	493940	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>B348_chr_703	770399	770800	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>B348_cp26_1	299	1513	-1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	?Tx
>B348_cp9_10	7060	7620	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.8e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	xxT
>B348_lp36_28	23641	26058	-1	805	PIN domain	1.3e-11	T	TASMANIA.T109	T.34729	Hmmer_genes	xxxxTxxxx
>B348_lp36_9	7208	7477	1	89	YoeB-like toxin of bacterial type II toxin-antitoxin system	4e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	xT
>B348_lp54_5	4662	5135	-1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.7e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>B348_lp54_59	48557	49348	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
