All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UCT92H
# misassemblies              29    
  # contig misassemblies     29    
    # c. relocations         5     
    # c. translocations      23    
    # c. inversions          1     
  # scaffold misassemblies   0     
    # s. relocations         0     
    # s. translocations      0     
    # s. inversions          0     
# misassembled contigs       13    
Misassembled contigs length  329486
# local misassemblies        8     
# scaffold gap ext. mis.     0     
# scaffold gap loc. mis.     0     
# unaligned mis. contigs     5     
# mismatches                 11765 
# indels                     715   
    # indels (<= 5 bp)       656   
    # indels (> 5 bp)        59    
Indels length                2985  
