gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_11_length_18990_cov_190.241633_12	12488	12757	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	xA
>NODE_11_length_18990_cov_190.241633_15	17880	18149	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?
>NODE_19_length_8452_cov_75.400836_3	848	1363	1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A
>NODE_19_length_8452_cov_75.400836_8	7090	7605	-1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A
>NODE_1_length_353803_cov_53.520312_182	214192	214593	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>NODE_2_length_221424_cov_55.492923_141	147439	147702	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221424_cov_55.492923_91	101096	101992	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>NODE_2_length_221424_cov_55.492923_94	105990	106349	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>NODE_3_length_213276_cov_52.451400_171	182279	183751	-1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_3_length_213276_cov_52.451400_80	89149	90804	1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>NODE_44_length_2043_cov_266.722787_5	1323	1883	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	?xxxxT?
>NODE_4_length_115453_cov_57.206724_12	9674	10456	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_4_length_115453_cov_57.206724_52	52685	53077	-1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_5_length_53704_cov_79.424115_60	48525	48998	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A
>NODE_5_length_53704_cov_79.424115_7	5409	6200	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_8_length_36864_cov_95.592030_1	1	330	-1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A
>NODE_8_length_36864_cov_95.592030_28	36535	36864	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?
>NODE_9_length_26575_cov_82.903163_21	19422	20636	1	404	PIN domain	3.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	xT
