gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>contig000001_123	122544	124199	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>contig000001_265	287331	287594	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>contig000001_312	328670	329029	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>contig000001_315	333027	333923	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>contig000001_32	29591	31063	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00025	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>contig000001_417	450550	451332	-1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>contig000001_457	493556	493948	-1	130	PIN domain	5.9e-08	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>contig000001_704	770418	770819	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>contig000002_7	5362	6153	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	5.7e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>contig000006_18	14404	14964	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txxxx
>contig000010_7	5797	6030	1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	A
>contig000013_13	10596	11810	-1	404	PIN domain	2.9e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx
>contig000014_4	4420	4689	-1	89	RelB antitoxin	7.8e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax
