All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI47H 
# misassemblies              31     
  # contig misassemblies     31     
    # c. relocations         4      
    # c. translocations      25     
    # c. inversions          2      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       16     
Misassembled contigs length  1356200
# local misassemblies        16     
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     3      
# mismatches                 11952  
# indels                     750    
    # indels (<= 5 bp)       682    
    # indels (> 5 bp)        68     
Indels length                4175   
