gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure	pop_structure
>NODE_15_length_7304_cov_141.562474_2	821	1090	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA	?xA
>NODE_15_length_7304_cov_141.562474_3	6215	6484	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?	Ax?
>NODE_173_length_380_cov_24.254125_1	3	257	1	84	RelB antitoxin	3.7e-06	A	TASMANIA.A54	A.11087	Hmmer_genes	?A?	?A?
>NODE_183_length_365_cov_87.333333_1	1	363	1	120	ParB family	1.3e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A?	?A?
>NODE_1_length_353787_cov_35.806141_112	139255	139656	1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xAxxx	xAxxx
>NODE_2_length_221067_cov_36.730739_111	115055	115414	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA	xA
>NODE_2_length_221067_cov_36.730739_114	119412	120308	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT	xxT
>NODE_2_length_221067_cov_36.730739_64	73702	73965	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>NODE_315_length_248_cov_0.836257_1	1	198	-1	65	"Nucleotidyl transferase AbiEii toxin, Type IV TA system"	2.3e-06	T	TASMANIA.T126	T.49039	Hmmer_genes	?T?	?T?
>NODE_3_length_213224_cov_35.100175_124	122421	124076	-1	551	RelB antitoxin	9.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx	xxxAxxxxxx
>NODE_3_length_213224_cov_35.100175_33	29474	30946	1	490	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.00014	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx	Tx
>NODE_4_length_115453_cov_38.145126_107	104998	105780	1	260	ParB-like nuclease domain	7.7e-56	A	TASMANIA.A1	A.58457	Hmmer_genes	A	A
>NODE_4_length_115453_cov_38.145126_67	62377	62769	1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T	T
>NODE_54_length_1953_cov_128.402985_2	531	1091	-1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	Txxxx?	Txxxx?
>NODE_5_length_53802_cov_56.331968_60	48629	49102	1	157	"Antidote-toxin recognition MazE, bacterial antitoxin"	3.1e-07	A	TASMANIA.A120	A.61479	Hmmer_genes	A	A
>NODE_5_length_53802_cov_56.331968_7	5497	6288	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	T	T
>NODE_6_length_26575_cov_57.177410_23	20262	21476	-1	404	PIN domain	3.5e-06	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx	Tx
>NODE_90_length_898_cov_42.775883_2	187	702	1	171	ParB family	5e-07	A	TASMANIA.A21	A.65653	Hmmer_genes	A	A
