gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>BL224_chr_123	122331	123986	-1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxAxxxxxx
>BL224_chr_265	287591	287854	-1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxTxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
>BL224_chr_312	328945	329304	1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	xA
>BL224_chr_315	333311	334207	-1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	xxT
>BL224_chr_32	29379	30860	1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.0004	T	TASMANIA.T4	T.2200	Hmmer_genes	Tx
>BL224_chr_330	350736	351011	-1	91	Arc-like DNA binding domain	3.6e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxxxAxxx
>BL224_chr_417	450836	451618	-1	260	ParB-like nuclease domain	1.8e-55	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>BL224_chr_457	493843	494235	-1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>BL224_chr_704	770807	771208	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>BL224_cp26_20	18569	19783	1	404	PIN domain	6.1e-07	T	TASMANIA.T109	T.34729	Hmmer_genes	xT
>BL224_cp9_6	3839	4399	1	186	"ParE toxin of type II toxin-antitoxin system, parDE"	4.5e-06	T	TASMANIA.T9	T.17579	Hmmer_genes	xxxT
>BL224_lp17_1	2559	2828	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?Ax
>BL224_lp17_13	16317	16565	-1	82	YoeB-like toxin of bacterial type II toxin-antitoxin system	2.7e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	T
>BL224_lp28-6_24	20841	21533	-1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xxxxxxxxxxxxxxxxTx
>BL224_lp36_6	5252	5485	1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	xA
>BL224_lp54_59	48584	49375	-1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T
