gene_id	start	end	strand	protein_length	gene_description	hmmer_E_value/Estw_score	TAS_info	tasmania_hmm_cluster_id	HMM_ID	Process	operon_structure
>NODE_11_length_16983_cov_331.960842_12	16654	16983	1	109	ParB family	2.5e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	A?
>NODE_132_length_367_cov_181.593103_1	3	365	1	120	ParB family	1.3e-06	A	TASMANIA.A21	A.65653	Hmmer_genes	?A?
>NODE_13_length_14187_cov_335.752445_3	1423	1671	1	82	YoeB-like toxin of bacterial type II toxin-antitoxin system	2.7e-06	T	TASMANIA.T92	T.21922	Hmmer_genes	T
>NODE_19_length_7333_cov_313.888506_2	829	1098	1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	?xA
>NODE_19_length_7333_cov_313.888506_5	6215	6484	-1	89	RelB antitoxin	6.7e-06	A	TASMANIA.A11	A.21775	Hmmer_genes	Ax?
>NODE_1_length_463767_cov_152.683349_10	9867	10649	-1	260	ParB-like nuclease domain	1.8e-55	A	TASMANIA.A1	A.58457	Hmmer_genes	A
>NODE_1_length_463767_cov_152.683349_297	329778	330179	-1	133	ParB-like nuclease domain	2e-31	A	TASMANIA.A67	A.22745	Hmmer_genes	xxxAx
>NODE_1_length_463767_cov_152.683349_50	52874	53266	-1	130	PIN domain	2.1e-07	T	TASMANIA.T89	T.19597	Hmmer_genes	T
>NODE_2_length_221493_cov_154.037188_141	147224	147487	1	87	Hok/gef family	0.00044	T	TASMANIA.T11	T.23429	Hmmer_genes	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxTxxxxxxxxxx
>NODE_2_length_221493_cov_154.037188_76	84067	84342	1	91	Arc-like DNA binding domain	3.6e-06	A	TASMANIA.A31	A.55510	Hmmer_genes	xxxAxxxxx
>NODE_2_length_221493_cov_154.037188_91	100871	101767	1	298	"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system"	4.5e-07	T	TASMANIA.T25	T.56188	Hmmer_genes	Txx
>NODE_2_length_221493_cov_154.037188_94	105774	106133	-1	119	RelB antitoxin	1.3e-07	A	TASMANIA.A116	A.58654	Hmmer_genes	Ax
>NODE_3_length_213484_cov_147.980652_171	182625	184106	-1	493	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	0.0004	T	TASMANIA.T4	T.2200	Hmmer_genes	xT
>NODE_3_length_213484_cov_147.980652_80	89499	91154	1	551	RelB antitoxin	5.4e-07	A	TASMANIA.A11	A.36188	Hmmer_genes	xxxxxxAxxx
>NODE_4_length_53880_cov_230.837500_6	4460	5251	1	263	"ParE toxin of type II toxin-antitoxin system, parDE"	7.3e-05	T	TASMANIA.T9	T.17579	Hmmer_genes	T
>NODE_5_length_47392_cov_383.937441_21	18212	18445	-1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	Ax
>NODE_5_length_47392_cov_383.937441_34	28948	29181	1	77	"Antitoxin Phd_YefM, type II toxin-antitoxin system"	4.6e-06	A	TASMANIA.A45	A.59949	Hmmer_genes	xA
>NODE_7_length_26591_cov_250.459267_25	23578	24792	-1	404	PIN domain	6.1e-07	T	TASMANIA.T109	T.34729	Hmmer_genes	Tx?
>NODE_96_length_503_cov_521.053991_1	3	503	-1	166	ParB-like nuclease domain	6.4e-06	A	TASMANIA.A25	A.17865	Hmmer_genes	?A?
>NODE_9_length_23627_cov_503.498938_6	3789	4481	1	230	"Bacterial toxin of type II toxin-antitoxin system, YafQ"	3e-05	T	TASMANIA.T4	T.51595	Hmmer_genes	xTxxxxxxxxxxxxxxxx
