All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     URI86H 
# misassemblies              24     
  # contig misassemblies     24     
    # c. relocations         6      
    # c. translocations      17     
    # c. inversions          1      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       13     
Misassembled contigs length  1227542
# local misassemblies        14     
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     3      
# mismatches                 9176   
# indels                     527    
    # indels (<= 5 bp)       472    
    # indels (> 5 bp)        55     
Indels length                3468   
