All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UCT110H
# misassemblies              18     
  # contig misassemblies     18     
    # c. relocations         5      
    # c. translocations      11     
    # c. inversions          2      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       9      
Misassembled contigs length  218940 
# local misassemblies        5      
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     6      
# mismatches                 8997   
# indels                     508    
    # indels (<= 5 bp)       458    
    # indels (> 5 bp)        50     
Indels length                2620   
